areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2021-04-24,99,1202
E92000001,England,nation,2021-04-23,124,1580
E92000001,England,nation,2021-04-22,92,1884
E92000001,England,nation,2021-04-21,126,2128
E92000001,England,nation,2021-04-20,98,1943
E92000001,England,nation,2021-04-19,138,2129
E92000001,England,nation,2021-04-18,112,2129
E92000001,England,nation,2021-04-17,135,1308
E92000001,England,nation,2021-04-16,118,1811
E92000001,England,nation,2021-04-15,127,1804
E92000001,England,nation,2021-04-14,156,1945
E92000001,England,nation,2021-04-13,153,1910
E92000001,England,nation,2021-04-12,173,2236
E92000001,England,nation,2021-04-11,175,1902
E92000001,England,nation,2021-04-10,151,1888
E92000001,England,nation,2021-04-09,167,2314
E92000001,England,nation,2021-04-08,167,2481
E92000001,England,nation,2021-04-07,189,2591
E92000001,England,nation,2021-04-06,183,2565
E92000001,England,nation,2021-04-05,188,2192
E92000001,England,nation,2021-04-04,156,1923
E92000001,England,nation,2021-04-03,179,2014
E92000001,England,nation,2021-04-02,178,2128
E92000001,England,nation,2021-04-01,180,2866
E92000001,England,nation,2021-03-31,225,3148
E92000001,England,nation,2021-03-30,217,2956
E92000001,England,nation,2021-03-29,206,3198
E92000001,England,nation,2021-03-28,221,4102
E92000001,England,nation,2021-03-27,217,2946
E92000001,England,nation,2021-03-26,245,3627
E92000001,England,nation,2021-03-25,288,4451
E92000001,England,nation,2021-03-24,277,5117
E92000001,England,nation,2021-03-23,295,4346
E92000001,England,nation,2021-03-22,294,5149
E92000001,England,nation,2021-03-21,279,4518
E92000001,England,nation,2021-03-20,287,3372
E92000001,England,nation,2021-03-19,283,4142
E92000001,England,nation,2021-03-18,351,4526
E92000001,England,nation,2021-03-17,343,4850
E92000001,England,nation,2021-03-16,364,4743
E92000001,England,nation,2021-03-15,431,5442
E92000001,England,nation,2021-03-14,357,3586
E92000001,England,nation,2021-03-13,385,3456
E92000001,England,nation,2021-03-12,386,4623
E92000001,England,nation,2021-03-11,449,4690
E92000001,England,nation,2021-03-10,494,5012
E92000001,England,nation,2021-03-09,483,5221
E92000001,England,nation,2021-03-08,501,5573
E92000001,England,nation,2021-03-07,461,3544
E92000001,England,nation,2021-03-06,528,3708
E92000001,England,nation,2021-03-05,487,4552
E92000001,England,nation,2021-03-04,596,4800
E92000001,England,nation,2021-03-03,607,5105
E92000001,England,nation,2021-03-02,683,5686
E92000001,England,nation,2021-03-01,704,5893
E92000001,England,nation,2021-02-28,662,3958
E92000001,England,nation,2021-02-27,624,4106
E92000001,England,nation,2021-02-26,718,5671
E92000001,England,nation,2021-02-25,832,6621
E92000001,England,nation,2021-02-24,874,7308
E92000001,England,nation,2021-02-23,976,8149
E92000001,England,nation,2021-02-22,980,9858
E92000001,England,nation,2021-02-21,1009,6800
E92000001,England,nation,2021-02-20,904,6897
E92000001,England,nation,2021-02-19,1068,8882
E92000001,England,nation,2021-02-18,1149,9913
E92000001,England,nation,2021-02-17,1233,10027
E92000001,England,nation,2021-02-16,1311,10817
E92000001,England,nation,2021-02-15,1322,12468
E92000001,England,nation,2021-02-14,1364,7536
E92000001,England,nation,2021-02-13,1240,7744
E92000001,England,nation,2021-02-12,1318,10575
E92000001,England,nation,2021-02-11,1440,11229
E92000001,England,nation,2021-02-10,1535,11848
E92000001,England,nation,2021-02-09,1531,12248
E92000001,England,nation,2021-02-08,1739,13855
E92000001,England,nation,2021-02-07,1675,10160
E92000001,England,nation,2021-02-06,1679,10589
E92000001,England,nation,2021-02-05,1757,13980
E92000001,England,nation,2021-02-04,1907,16158
E92000001,England,nation,2021-02-03,2096,17411
E92000001,England,nation,2021-02-02,2222,17664
E92000001,England,nation,2021-02-01,2347,20112
E92000001,England,nation,2021-01-31,2183,13710
E92000001,England,nation,2021-01-30,2193,15005
E92000001,England,nation,2021-01-29,2379,19691
E92000001,England,nation,2021-01-28,2719,21848
E92000001,England,nation,2021-01-27,2742,23243
E92000001,England,nation,2021-01-26,2799,24435
E92000001,England,nation,2021-01-25,2648,27112
E92000001,England,nation,2021-01-24,2824,15456
E92000001,England,nation,2021-01-23,2780,19876
E92000001,England,nation,2021-01-22,3016,26921
E92000001,England,nation,2021-01-21,3237,28758
E92000001,England,nation,2021-01-20,3679,31753
E92000001,England,nation,2021-01-19,3768,35969
E92000001,England,nation,2021-01-18,3711,40721
E92000001,England,nation,2021-01-17,3424,26211
E92000001,England,nation,2021-01-16,3569,27653
E92000001,England,nation,2021-01-15,3295,36785
E92000001,England,nation,2021-01-14,3678,38534
E92000001,England,nation,2021-01-13,3840,41169
E92000001,England,nation,2021-01-12,4134,44685
E92000001,England,nation,2021-01-11,3894,52028
E92000001,England,nation,2021-01-10,3571,32869
E92000001,England,nation,2021-01-09,3718,35449
